Название статьи,Ссылка на статью,Контекст статьи,Статус
Резной кодекс,https://www.kuvalda.ru/blog/articles/zolotye_ruky/budu-rezat-budu-zhit.html,"В официальном сообществе мастерской Богдана Грицака ArtwoodBG вконтакте недавно отметили юбилей – 90000 подписчиков. Популярность в инстаграме среди не только профессионалов резьбы по дереву тоже зашкаливает – больше 20000 человек. Сам Богдан умеет, кажется, все, от неповторимых заколок для волос и гребней для бороды до резных рам и мебели из массива в стиле ар-нуво. Мы часто слышим это про артистов: он с детства пел, поэтому его путь был предопределен уже тогда. С Богданом произошло то же самое, только он не пел – пели в его руках инструменты. «Стройные стволы сосен, пни, долгое время лежащие у берегов рек и озер, твердая древесина дуба с толстыми сердцевинными лучами, роскошная текстура бука, плотное и сучковатое дерево клена, нежная груша и полированный орех – с детства меня околдовывало дерево во всех его проявлениях. Меня завораживали плоты и погреба, кораблики и музыкальные инструменты, деревянные колонны и мебель. Я чувствовал мощь дерева, его тепло. Я был влюблен в его запах, и влюблен до сих пор». Вспыхнувшее чувство к живому материалу заставило взять в руки инструмент.",ok
Я могу все,https://www.kuvalda.ru/blog/articles/zolotye_ruky/na-vse-ruki.html,"Художник, декоратор и дизайнер-самоучка Алексей Стешак выглядит как рок-звезда, мыслит, как большой художник, и работает, как волк – в одиночестве. Как многие наши герои, когда ему стукнуло 30, он решил не идти на поводу у ожиданий социума и занялся тем, к чему лежала душа – к чистому творчеству. Ни грамма лукавства здесь нет: Стешак берется только за те проекты, в которых заказчик дает ему полный карт-бланш. Он может все: придумывает интерьеры и реализует их, работая с мозаикой, деревом, лепниной, резьбой — даже мебель и элементы декора он делает в одиночку. Это его история из первых уст. Мне кажется, что всему свое время. Я никогда не рисовал и даже не представлял, что могу, до 30 лет. А потом как-то сразу у меня все стало получаться. Я очень быстро всему научился: и резьбе по дереву, и лепке из штукатурки, и мозаике. Не помню такого, чтобы что-то совсем не получалось.",ok
Умывальников начальник,https://www.kuvalda.ru/blog/articles/zolotye_ruky/umyvalnikov-nachalnik.html,"Проект The Loftlab появился на заре популярности индустриального стиля. Кирпич, металл, дерево – из трех китов, на которых стоит лофт, предпочтение создатель проекта Александр Жохов отдал последнему: он делает сантехнику из дерева. Разобрались, почему бывший управленец и его команда не принимают ванну такой, какая она есть, и как столкнуть две стихии – воду и дерево – без последствий. Экономист по образованию, Александр Жохов первые годы после выпуска работал в госструктурах. Непонятно, что я делал и зачем», — так он описывает свою деятельность на ниве государственной службы. Главное, что не устраивало героя: он не видел результата своей работы. Не то чтобы все было зря – просто ему хотелось видеть его буквально, в вещественном эквиваленте. После Александр как управленец занялся отделкой квартир под ключ. Покупал жилье, нанимал дизайнера, строительную бригаду – под его руководством бездушные квадраты превращались в модные дизайнерские пространства. С подрядчиками, которые изготавливают мебель, тоже работал.",ok
Напористый характер,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/naporistyy-harakter.html,"Завод «Джилекс» в городе Климовске Московской области – уникальное предприятие, которое не только собирает оборудование, но и производит комплектующие для своих насосов. На счету компании около 40 патентов, за реализацией которых гоняются конкуренты со всего мира, пытаясь скопировать ту или иную технологию. Мы разобрались, что делает системы «Джилекс» долговечными, побывав на предприятии с ревизией. Предприятие, которое сегодня по некоторым оценкам занимает больше 60% рынка, появилось в городе Климовске в 1993 году. Тогда молодые предприниматели сотрудничали с итальянцами и выпускали совместный продукт. В 2003 году бренд «Джилекс» занял помещения цехов по ремонту дорожной техники. Площадь была огромная для скромных по нынешним меркам объемов выпуска насосов. Сегодня в цехах кипит жизнь: здесь установлено современное оборудование от ведущих машиностроительных концернов, включая полностью автоматические станки и роботы. У руководства – принципиальная позиция: использовать все отечественное или родственное. Сталь поставляют с Магнитогорского металлургического комбината, большую часть армлена (армированный полиэтилен) — до 70% — заказывают на заводе «Оргсинтез», кабель «тянут» из Северодвинска, а чугун доставляют из Беларуси.",ok
Несносные насосы,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/nesnosnye-nasosy.html,"Датский концерн Grundfos , которому в этом году исполняется 72 года, в год производит 16 миллионов единиц насосного оборудования. До 50 тысяч из них приходится на предприятие «Грундфос Истра», которое с 2005 года находится в Истринском районе Московской области, в деревне Лешково. Ежедневно с конвейера сходит оборудование для инженерных систем зданий, ЖКХ и промышленных предприятий. Центральный стадион «Фишт» в Сочи, аэропорт «Курумоч» в Самаре, министерство иностранных дел России, МГУ им. Ломоносова, Останкинский пруд, завод Nissan в Санкт-Петербурге – лишь вершина списка объектов, на которых установлено оборудование Grundfos. Мы побывали на заводе в Лешково и включили наш информационный насос, чтобы собрать самые интересные факты о производстве. На заводе работает 12 линий, с которых сходят больше 30 типов оборудования. Само производство занимает 12 000 квадратных метров. Помимо машин и роботов, квадраты занимают системы хранения для комплектующих. Привозят их со всей Европы: из Дании, Польши, Германии, Венгрии, и большинство – с собственных предприятий концерна.",ok
"Кует, поет и пишет",https://www.kuvalda.ru/blog/articles/zolotye_ruky/kuet-poet-i-pishet.html,"Псков считается кузницей кадров среди укротителей молота и наковальни. Они даже называют себя иначе — скобари. Один из них — Евгений Вагин — прославился не только на этом поприще. Всероссийскую известность ему принесло также его музыкальное творчество. Мы поговорили с Евгением о том, из каких инструментов ему больше нравится извлекать музыку. За плечами Евгения Вагина два высших образования. Первое – инженерное, хотя ни дня он не проработал по профессии – сразу решил, что хочет заниматься ручным трудом. К моменту, когда он учился в Москве на художника-реставратора, он уже занимался восстановлением археологических находок. Образование же помогло определиться с профессиональным путем окончательно: на курсе преподавали и ювелирное дело, и кузнечное. Отправной точкой же стало знакомство с творчеством известного мастера Всеволода Смирнова, именитого кузнеца, который некогда бросил успешную карьеру архитектора ради молота и наковальни.",ok
Как Безумный Макс,https://www.kuvalda.ru/blog/articles/zolotye_ruky/kak-bezumnyy-maks.html,"Борис Паутов создал в родном Пскове транспортный парк и проект FunnyRidersShow , основное назначение которого – радовать. Собранные из металлолома средства передвижения засветились на многих слетах байкеров и даже на поэтическом фестивале в честь Александра Пушкина – странным машинам рады везде. За семь лет, что Борис придумывает и покупает у таких же Кулибиных самодельные аппараты, герой не оставляет намерений создать целый музей уникальных изобретений. Борис вырос в деревне, поэтому ручной труд был не чужд ему с детства. «Я постоянно что-то ковырял, строгал и вообще мог сделать любую работу, от перекидывания навоза до управления лошадью», — вспоминает Паутов. Профессиональный путь будущего изобретателя определили учителя: «Они меня уговорили. Сказали, что у меня есть способности, да и вообще, у преподавателей отпуск большой». Труд, черчение, ОБЖ – герой проработал в сельских школах семь лет. По его словам, в целом его все устраивало. Особое удовольствие он получал от осознания, что «взращивает человекоподобных существ».",ok
Укротитель жести,https://www.kuvalda.ru/blog/articles/zolotye_ruky/ukrotitel-zhesti.html,"Алексей Павлов из Пскова рассказывает о секретах правильной вентиляции и о том, как работа в кузнице позволила ему по-новому взглянуть на свою профессию, а перегонка автомобилей – выжить и понять, что жесть – это его судьба. Отец Алексея был печником, и когда перед Павловым встал вопрос профориентации, он тоже решил заняться чем-то необычным. Из предложенного перечня выбрал специальность жестянщика-вентиляционщика – по его словам, весьма редкую. На восьмимесячной практике по итогам обучения он попал к мастодонтам жестяного дела – в бригаде со «стариками» делал вентиляцию на крупном мясокомбинате. Тогда он познал основные тонкости мастерства. После шесть лет в гордом одиночестве трудился в одном из автопарков родного Пскова – сложно преувеличить значимость системы вентиляции в загазованном помещении. «Там были такие трубы, что в них пешком в полный рост можно войти», — вспоминает самые яркие моменты Алексей. После судьба забросила его в кузницу. Санкт-Петербургу вот-вот должно было стукнуть 300 лет, и фирма выполняла крупный заказ для гостевой резиденции Владимира Путина: два года мастера делали девятикилометровый забор, который прерывался пятнадцатью коваными воротами. Работал герой под началом бывшего ювелира, поэтому отношение к красоте в команде было особым.",ok
В мире животных,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/v-mire-zhivotnyh.html,"Краснодарский дизайнер Артем Коренец – типичный представитель поколения молодых предпринимателей, которые презрели работу в продажах и переключились на ручной труд. За три года придуманные и созданные им из МДФ и HPL-пластика представители фауны My Zoo обжились в домах и заведениях по всей стране, от резиденций боксера Кости Цзю и актрисы Анастасии Заворотнюк до кафе ресторатора Аркадия Новикова и студии актрисы и кулинарной дивы Юлии Высоцкой. Есть в истории Артема и другой сюжет, близкий представителям старшего поколения, которые брались за лобзик вслед за отцом или дедом. Дома в Краснодаре, куда сегодня москвич Артем Коренец метафорически въезжает на деревянном коне, стоит мебель, созданная его отцом. Однако к ручному труду герой пришел не сразу. После школы пошел учиться на менеджера, работал агентом по заключению договоров в телеком-компании – занимался подключением населения к интернету. Профессию выбрал не просто так: корочка сулила достичь главного в жизни – построить карьеру и заработать денег. За заслуги перед всеобщей интернетизацией Артема повысили, но вместо радости со временем он испытал замешательство: что дальше? Хотелось создавать, а не продавать. Ответ буквально все это время был перед глазами и под ногами у озадаченного героя, но первое время он делал упаковку ручной работы, крафтовые открытки и даже картины из гвоздей.",ok
Амбарное меню,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/vola.html,"Мастерская Arkloft производит амбарные механизмы и двери, мебель из водопроводных труб и свет в стиле лофт, а еще – веганские сладости. История ее создателя Артема Холодка далека от шаблонов индустрии. Программист с гуманитарным складом ума, в один прекрасный день он просто начертил свой первый амбарный механизм, не обладая ни знаниями, ни навыками. После школы Артем пошел учиться на программиста, но, окончив вуз, ни дня не проработал по специальности. Однако далеко от выбранного направления не ушел: почти десять лет он провел в офисах крупнейших компаний – Hewlett Packard, Dell и Seagate, где трудился в продажах. Всю дорогу героя не покидало чувство, что он занят не своим делом. Ему всегда хотелось созидать – быть полезным людям и создавать что-то руками. Уйдя из Seagate, Холодок целый год потратил на медитацию, чтобы избавить разум от шума и понять себя. Новое начинание – запуск интернет-магазина одежды – оказалось ближе к желанной миссии, но, по его же словам, этот box moving, или перепродажа, его тоже не удовлетворил. Решив все же освоить ручной труд, Артем сделал первый ремешок для часов, посмотрев один-единственный ролик на ютубе.",ok
Основные виды сварки,https://www.kuvalda.ru/blog/articles/polz/osnovnye-vidy-svarki.html,"Сварка электротоком делится на 2 принципиальных класса: недуговая и дуговая. Недуговую сварку чаще называют контактной. В контактной сварке электроды, подающие ток, прикладываются непосредственно к металлу, который сваривают. Сквозь метал, расположенный между поднесенными электродами, подается короткий, но очень мощный разряд тока (тысячи ампер). Сплавление при этом получается только между приложенными электродами. Если электроды расположены прямо друг против друга, то сварное соединение получается точечным. Хотя точечная сварка – не единственный вид контактной сварки, но зато самый распространенный. Поэтому понятия «точечной сварки» и «контактной сварки» часто используют в виде синонимов. Напряжение точечной сварки составляет считанные вольты. Поэтому контактная сварка применяется преимущественно для скрепления тонколистового металла.",ok
Брата два,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/brata-dva.html,"Артель «Данила, Макар и братья» — настоящие хитмейкеры деревянного зодчества и федеральных телеэфиров: засветились в двух главных передачах по переделке городских и загородных квадратов – «Квартирный вопрос» и «Дачный ответ». Профиль команды – строительство домов и банных комплексов из сухостоя – дерева, которое умерло естественным образом в глухих карельских лесах 20-30 лет назад. Мы побывали в двух подмосковных резиденциях артели и выяснили, как рабочие ищут нужный ствол, почему нельзя использовать сырье из ближайшего леса и зачем команда взялась за восстановление деревянных храмов в безлюдных селах. Бездонные котлованы, бесконечные башенные краны, бетонные плиты, взмывающие в небо – руководитель артели, москвич Дмитрий Беляев с детства заворожено смотрел на стройку и мечтал, что когда-нибудь обязательно будет руководить ей. Желание пришлось отложить на несколько лет. Чтобы войти в новую для себя сферу на коне, Дмитрий какое-то время работал в крупной финансовой компании. В середине 2000-х, когда рынок недвижимости рос и сулил быстрый заработок («В то время люди брали почти не глядя, потому что объекты дорожали с невероятной скоростью»), герой решил: пора. Вместе с друзьями – Данилой, Макаром – и братом он взялся за строительство частных домов по традиционной схеме и без карельских изысков. В 2008 году команда выкупила участок в одном из подмосковных поселков и построила свой первый дом из сухостоя. Работы начали под обещание, что коммуникации на территории массовой застройки появятся позже.",ok
Дядя Ваня,https://www.kuvalda.ru/blog/articles/zolotye_ruky/kurganec-ivan-baev-20-let-sozdaet-stanki-v-svoey-masterskoy.html,"Ивана Баева из Кургана знает едва ли не каждый столяр. Раньше слава о мастере, который уже двадцать лет делает деревообрабатывающие станки, распространялась по сарафанному радио. Тогда его уже звали просто: Дядя Ваня. Около трех лет назад, когда он завел свой канал на ютуб , эту функцию стал выполнять Интернет. На него подписаны 25 000 человек, а количество просмотров роликов достигает полумиллиона. Этот способ общения с коллегами когда-то спас ему жизнь. Мама Ивана всегда говорила, что гвозди он научился забивать раньше, чем ходить. Любовь к ручному труду привил отец-столяр. Баев не оканчивал профильных техникумов и вузов и работе с ручным инструментом научился от папы. До 1990-х Дядя Ваня работал телемастером – по его признанию, только ради денег – удовольствия труд не приносил, и ему всегда хотелось столярничать.",ok
"Стеклянная река, деревянные берега",https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/steklyannaya-reka-derevyannye-berega.html,"Мастерская «Лимонный дуб» стартовала с работ по реставрации мебели, после переключилась на предметы интерьера из деревянных паллет, а сейчас увлеклась изготовлением элементов обстановки в стиле лофт и лив-эдж – команда собрала всю дизайнерскую моду, включая хитовые столешницы из дерева и стекла. Рассказываем, как их производят и как поймать актуальное течение. Появление полноценного столярного цеха в реставрационной мастерской стало закономерным этапом в развитии «Лимонного дуба». Для реновации часто требовалось изготовить утраченные со временем детали дорогой сердцу заказчика мебели. После команда уловила тренд на предметы интерьера из поддонов, или паллет. Мини-фабрика и сегодня занимается ей и по-прежнему подходит к выбору материала с педантизмом, не свойственным этому направлению. Скажем, здесь не используют сырье, которое служило тарой для перевозки нефтепродуктов или бытовой химии. «Дерево впитывает запахи. Думаю, мало приятного – сидеть на диване, который источает дух порошка», — объясняет руководитель компании Алексей Николаев. Поддоны мастера используют не только готовые, но и собирают их самостоятельно, после чего обязательно шлифуют и покрывают итальянскими красками – стойкими и не имеющими характерного амбре.",ok
MADE IN,https://www.kuvalda.ru/blog/articles/raznoe/made-in.html,"Многие связывают представление о качестве сварочного аппарата со страной его происхождения. Так отличаются ли сварочные аппараты , произведенные в Китае, Европе и России? Далее речь пойдет о сварочных инверторах . В век глобализации доступны не просто идентичные комплектующие, а конкретно одни и те же, от одних и тех же производителей. Например, и китайские, российские и западные производители, используют IGBT транзисторы одних и тех же мировых фирм – германской Infineon, американской Fair Child, франко-итальяно-швейцарской ST. В большей части остальных компонентов ситуация похожа. Почти все пассивные компоненты (резисторы, конденсаторы, трансформаторы) ныне производятся в Китае. Страна производства никаких ограничений или осложнений на использование комплектующих не накладывает. Если не считать финансовых: на готовые сварочные аппараты , ввозимые в Россию, пошлины не предусмотрены. Зато почти на все компоненты – от 5 до 20%.",ok
Король микроклимата,https://www.kuvalda.ru/blog/articles/zolotye_ruky/korol-mikroklimata.html,"Евгений Чащин из Воронежа занимается микроклиматом в помещении чертову дюжину лет. В его профиле больше 5000 «живых» подписчиков, с которыми он делится профессиональными секретами и находками. Мы пообщались с ним, чтобы узнать о превратностях микроклимата в российских квадратах, и спросили совета: на что ориентироваться при выборе кондиционера и как не прогадать с мастером. В профессию Евгений попал почти случайно, но по собственной воле. В 2003 году, будучи студентом воронежского «строяка», он, как и все, искал работу на лето. Друзей отправили на преддипломную практику на объект, где нужно было заниматься и микроклиматом, и Чащин, недолго думая, пошел за компанию – и с тех пор не расстается со сплит-системой . С тех пор, сетует герой, мало что принципиально изменилось в технологии, если говорить о привычных микроклиматических системах. Сегодня ими можно управлять по вай-фай, в них постоянно улучшают фильтры и систему очистки воздуха, но кардинальных изменений нет. Мы задали резонный вопрос, как обстоит дело у его зарубежных коллег. «Для американцев мини-сплитсистема – это скорее редкость.",ok
Двойное гражданство,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/dvoynoe-grazhdanstvo.html,"В Краснодаре начали работать над вопросом замены импортной продукции отечественной еще до введения подобных мер по всей стране. В 2009 году здесь появилась компания Brosco, производящая мебель по европейским образцам, но более доступным россиянам ценам. Узнали, как и для кого создают броскую мебель в стиле ар-деко, почему обитые коврами кресла – лучший выбор для ресторана или отеля и чем хороши диваны из кожи буйвола, сделанные на юге России. Предприниматель Максим Любославский и его компаньон никогда не были связаны со столярным делом. К мебельному бизнесу ребят привел первый закон рынка: предложение рождает спрос. Общаясь с крупными деловыми партнёрами в HoReCa-сегменте (отели, рестораны, кафе, кейтеринг), они поняли, что один из основных и постоянно растущих интересов отелей и ресторанов – мебель. Так Любославский и его напарник решили предложить сфере обслуживания свою продукцию. Начали шерстить рынок, искать наиболее интересные заказчикам модели. Часть образцов собственной коллекции разработали самостоятельно, остальное – авторское видение моделей из американского и британского дизайнерского глянца. Так появился модельный ряд Brosco, по большей мере вдохновленный стилем ар-деко: здесь нашлось место функционалу, преимущественно приглушенным цветам в обивке, а также характерному шику, роскоши и дорогим материалам.",ok
Между небом и землей,https://www.kuvalda.ru/blog/articles/zolotye_ruky/mezhdu-nebom-i-zemley.html,"Мастерская Александра Голикова существует почти 17 лет, но свое вдохновляющее название получила только в 2014-м. Тогда Paraneba, которая базируется в Павловске под Санкт-Петербургом, оказалась на слуху и о кинетических светильниках, домах на деревьях и деревянных игрушках заговорили по всей стране. Дома на деревьях обладатель диплома художника современного искусства Александр Голиков возводил еще до появления Paraneba, а вдохновили его на это собственные дети. После рождения каждого он начинал строить для него гнездо. Когда семья пополнилась шестым малышом, он решил поставить дело на поток — так его собственная детская мечта воплотилась в жизнь благодаря подрастающему поколению. Сам Голиков – тоже из многодетной семьи, в которой его и научили работать с деревом. «Режу, пилю, строгаю я с детства. Это для меня как дышать», — говорит мастер. Так в его деятельности соединились творческое начало и ремесло. Художник настаивает на том, что занимается искусством на стыке с дизайном.",ok
Большая стройка,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/bolshaya-stroyka_2.html,"Самара сегодня похожа на большую стройку, с которой, однако, смирились местные жители – так действительно надо. Во-первых, город готовится к наплыву туристов 2018 года, а значит, нужно строить новые дороги и развязки. Во-вторых, самим самарцам нужно доступное жилье, которое, к счастью, здесь возводят в бешеном темпе и в больших объемах. Мы вносим свой вклад в улучшение инфраструктуры города, поставляя на строительные объекты все необходимое оборудование, от защитных очков до новейших тепловых пушек . В 2018 году Самара должна стать одним из городов-хозяев чемпионата мира по футболу. К мундиалю, как водится, ремонтируют фасады и дороги, а главное – ищут новые транспортные решения; они избавят от местных многочасовых пробок даже далеких от спорта горожан. Разгрузить главные транспортные артерии призвана, например, тоннельная развязка на перекрестке Московского шоссе и проспекта Кирова. Движение на центральных магистралях с десятиполосным движением запустят уже летом, а сейчас здесь вовсю долбят и шлифуют путепровод длиной 134 метра и глубиной примерно 5 метров. Компания-подрядчик «Самаратрансстрой» при этом с самого начала строительства закупает инструмент и оборудование в «Кувалда.ру». Менеджер корпоративного отдела «Кувалда.ру» Александр Чернов, курирующий строительство виадука, отмечает, что симпатий к определенным маркам дорожные спецы не питают.",ok
Железные леди,https://www.kuvalda.ru/blog/articles/zolotye_ruky/zheleznye-ledi.html,"В январе рынок труда всколыхнула новость: российские женщины добились пересмотра списка профессий, присутствовать в которых им запрещено. Участницы нашего спецпроекта делают работу, которую принято считать «чисто мужской». Титулованные кузнецы и сварщица рассказывают о профессиональных предрассудках, стереотипном отношении и лояльности мужчин, а также реакции родителей и мужей на их выбор. В 2007 году я руководила складом светотехники, при этом действительно разбиралась в электрике и захотела спроектировать свою собственную серию светильников. Свою идею я решила реализовать с помощью металла: чувствовала, что это подвластно мне физически, к тому же мне нравился материал – его запах, свойства и сама атмосфера работы с ним. Так я начала учиться варить каркасы и основания будущей коллекции – под руководством отца освоила сварку, работу с электроинструментом. Потом переехала в Москву и закончила политехнический колледж – по второму образованию я сварщик третьего разряда. Дальнейший путь занял много времени: к тому, чтобы посвятить сварке всю жизнь, нужно было прийти морально, материально и физически. После учебы я пошла работать на производство художественной ковки, чтобы увидеть весь техпроцесс своими глазами. Ковка – это классическая школа художественной работы с металлом, я посвятила ей три года и двинулась дальше.",ok
Бетонные заводилы,https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/betonnye-zavodily_2.html,"Студия Garage Factory занимается промышленным дизайном и создает предметы интерьера и свет из бетона – родного для каждого жителя бетонных джунглей материала. Дамир Аитов и Тимур Закиров в прошлом были связаны с архитектурой, а последние годы посвятили развитию своего дела, слава о котором разлетелась далеко за пределы Татарстана. Рассказываем, как устроена работа студии, где не только создают, но и придумывают современные элементы обстановки. Дамир и Тимур до открытия своего дела были плотно связаны с архитектурой. Тимур работал в крупной строительной компании на руководящей должности. Фирма занималась возведением коммерческих объектов в премиальном сегменте. Со временем труд перестал приносить удовольствие: приходилось действовать по отработанным схемам, ходить проторенными путями – никакого простора для творчества. В какой-то момент интерес к этой сфере угас совсем. Бывшему руководителю хотелось создавать и наблюдать идею от ее рождения до реализации. Дамир родился в семье архитекторов и пятнадцать лет проработал в семейном бизнесе.",ok
